Artist,Title,Release Date,Type,Total Tracks,Popularity,Genres,URL
MONATIK,Вічно Танцююча Людина,2025-09-09,album,32,0,,https://open.spotify.com/album/5gBKxnzXdF8eR8M5yos90c
Targan,"congrats, you've ruined me again.",2025-09-09,single,1,0,,https://open.spotify.com/album/315NN1b8flSy1KXmyYVS0m
MONATIK і DOROFEEVA,If you know what I mean,2025-09-09,single,1,0,,https://open.spotify.com/album/1nEbOt8a41lArbvwO3zKna
Bartky,Vesnyanka (Odner Remix),2025-09-09,single,1,0,,https://open.spotify.com/album/34wN0FciPvTXgH1WMYZH0G
