Artist,Title,Release Date,Type,Total Tracks,Popularity,Genres,URL
Clonnex і mapt0v,i feel pain,2025-09-12,single,1,0,,https://open.spotify.com/album/2uflkpfQor3UHzPDdSCfuy
kavabanga Depo kolibri,Журавлі,2025-09-12,single,1,0,,https://open.spotify.com/album/4xx09Nswiuzy2c4pA8szg6
SAMCHUK,Зачарований,2025-09-12,single,1,0,,https://open.spotify.com/album/0TMlwqRnIGWajr3PVfXNCp
TVORCHI,Буває,2025-09-12,single,1,1,,https://open.spotify.com/album/4yVER0j2LD6R27jVK7l2Kl
Апатія,Гештальт,2025-09-12,single,1,0,,https://open.spotify.com/album/7JwoGVY7nV8iGMwDl3WGRt
Bandi&Bagi,Доберман,2025-09-12,single,1,0,,https://open.spotify.com/album/61Nqj7iINaD5W64i3wnQ3m
Відчай,Будь-ким,2025-09-12,single,1,0,,https://open.spotify.com/album/1tD1bQ82i64R8D3RiHOkw6
SWOIIA,Про особисте,2025-09-12,album,15,0,,https://open.spotify.com/album/1GwrJ7MieUwf4rW28TpmNr
"Alice Change, Kiismin і на її основі",Онлайн in love,2025-09-12,single,1,0,,https://open.spotify.com/album/1rDn1tb4EYSrG8wTiWBrwW
на її основі,"За її лаштунками, Vol. 3",2025-09-12,single,5,0,,https://open.spotify.com/album/2MHxLMtc6pKp3KJxxv8ZIj
"KARYOTYPE, Ян Когут і на її основі",Знебарвлені думки,2025-09-12,single,1,0,,https://open.spotify.com/album/4MmX8gTxyFDPr2MMAA9tfS
"LOVERA BREAUX, David Riabin і на її основі",Тихий шторм,2025-09-12,single,1,0,,https://open.spotify.com/album/70WwAZcLLwOPUe11NEMlst
Гаррі Шульц,Проспект Свободи,2025-09-12,single,1,0,,https://open.spotify.com/album/5WgKFkZ01CsOGBpytNoNzl
Джозерс,Останнє прощавай II,2025-09-12,single,2,0,,https://open.spotify.com/album/0fhxgir3qGJAGp7wDocqwf
Riffmaster,Зграя (Acoustic),2025-09-12,single,1,0,,https://open.spotify.com/album/1592U6WpxhD5xBdkKiRrpZ
POPIL,Хурделиці,2025-09-12,single,2,0,,https://open.spotify.com/album/1rMZc57fsteZTAwOF7TWMP
Slyzexx,Number one,2025-09-12,single,1,0,,https://open.spotify.com/album/6QkyoZWsrpK7speQKCoJdC
Jointjay,Танці під зірками,2025-09-12,single,1,0,,https://open.spotify.com/album/5LacS2QSAXjSM2jYygrOk7
Рома Факти,АМУР,2025-09-12,single,1,0,,https://open.spotify.com/album/62dGQBY9WqhkEq5bMrXwQB
Targan,як ніколи не переставати сумувати.,2025-09-12,single,1,0,,https://open.spotify.com/album/066hjTVTLsAe1ngarXJecJ
TRAVINSKIY,Дівчинка-осінь,2025-09-12,single,1,0,,https://open.spotify.com/album/36p2Q8oVKSLjDWwEiwMUJL
Робаний Йот,Стеля,2025-09-12,single,1,0,,https://open.spotify.com/album/40KGzDWKfOClkGKQgPfEff
Hyphen Dash,Berlin,2025-09-12,single,1,0,,https://open.spotify.com/album/00PISj1kSWbZrG1h6uORLF
whitelope,на шиї,2025-09-12,single,2,0,,https://open.spotify.com/album/4idhLm8hy9AFHjms3CgYjA
Женя і Катя,Мріяти,2025-09-12,single,1,0,,https://open.spotify.com/album/2vkrUqXXTcSY5HJl2eQlEg
Ризиковий План,Канібал,2025-09-12,single,1,0,,https://open.spotify.com/album/6oYu5oKF3sQ9YZyRFxs0QO
Mretc,Darkness,2025-09-12,single,1,0,,https://open.spotify.com/album/5G2VrrpFosmgO4FOMLv1yN
Breath Control Play,split,2025-09-12,single,3,0,,https://open.spotify.com/album/1e6luXENkrQ0eLRhPlv7SP
ваня jbl,Наодинці,2025-09-12,single,1,0,,https://open.spotify.com/album/5YNhnGPXeaXWSzBMV7VkbL
stereo.ashes і Куся,янгол,2025-09-12,single,1,0,,https://open.spotify.com/album/2DnW3L7KPgKch7dYSRgVkp
